length,$p_{stable}$,p_act,Energy,Consensus
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.767578125,0.03662109375
50002,$1/\sqrt{n}$,0.015625,-0.95849609375,0.47265625
50002,$1/n^{1/3}$,0.06250000000000001,-0.9296875,0.23974609375
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.93896484375,0.498046875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.85400390625,0.18212890625
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.77392578125,0.02978515625
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.9482421875,0.30517578125
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.92431640625,0.07373046875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8466796875,0.123046875
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.78173828125,0.10400390625
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.94580078125,0.56884765625
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.91796875,0.30859375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.82421875,0.25439453125
420,$1/\log^{1/3}n$,0.4367902323681495,-0.79736328125,0.060674758184523815
50002,$1/\sqrt{n}$,0.015625,-0.9697265625,0.57275390625
50002,$1/n^{1/3}$,0.06250000000000001,-0.93505859375,0.1376953125
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.91162109375,0.03662109375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8525390625,0.05615234375
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.78564453125,0.10009765625
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.94873046875,0.21435546875
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.95703125,0.56103515625
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8310546875,0.07275390625
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.794921875,0.23876953125
50002,$1/\sqrt{n}$,0.015625,-0.97265625,0.67724609375
50002,$1/n^{1/3}$,0.06250000000000001,-0.93896484375,0.40576171875
33,$1/\log^2 n$,0.006944444444444444,-0.96826171875,0.20075757575757572
50002,$1/\log n$,0.08333333333333333,-0.935546875,0.10546875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.861328125,0.05322265625
27720,$1/\log^{1/3}n$,0.4367902323681495,-0.79736328125,0.09448522262242966
50002,$1/\sqrt{n}$,0.015625,-0.9580078125,0.0927734375
50002,$1/n^{1/3}$,0.06250000000000001,-0.9443359375,0.19091796875
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.93310546875,0.07666015625
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.84033203125,0.19091796875
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.78076171875,0.03125
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.96044921875,0.80322265625
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.9267578125,0.41259765625
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.84765625,0.25244140625
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.79833984375,0.1591796875
50002,$1/\sqrt{n}$,0.015625,-0.9658203125,0.29296875
50002,$1/n^{1/3}$,0.06250000000000001,-0.935546875,0.37744140625
1,$1/\log^2 n$,0.006944444444444444,-0.96875,0.25
50002,$1/\log n$,0.08333333333333333,-0.92236328125,0.25439453125
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.84716796875,0.01416015625
27720,$1/\log^{1/3}n$,0.4367902323681495,-0.783203125,0.007914049112779582
50002,$1/\sqrt{n}$,0.015625,-0.9375,0.03955078125
50002,$1/n^{1/3}$,0.06250000000000001,-0.94921875,0.27490234375
1,$1/\log^2 n$,0.006944444444444444,-0.96875,0.03125
50002,$1/\log n$,0.08333333333333333,-0.927734375,0.11328125
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.83544921875,0.02001953125
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.78076171875,0.0146484375
50002,$1/\sqrt{n}$,0.015625,-0.9697265625,0.693359375
50002,$1/n^{1/3}$,0.06250000000000001,-0.9560546875,0.61328125
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.8994140625,0.1357421875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8134765625,0.13232421875
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.7880859375,0.1904296875
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.9453125,0.4658203125
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.95166015625,0.73046875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.82763671875,0.15478515625
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.7744140625,0.08154296875
1,$1/\sqrt{n}$,0.015625,-0.98828125,0.947265625
50002,$1/n^{1/3}$,0.06250000000000001,-0.93994140625,0.615234375
1,$1/\log^2 n$,0.006944444444444444,-0.96875,0.28125
50002,$1/\log n$,0.08333333333333333,-0.92626953125,0.42822265625
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.833984375,0.05517578125
6300,$1/\log^{1/3}n$,0.4367902323681495,-0.76806640625,0.04857739645337302
14476,$1/\sqrt{n}$,0.015625,-0.98193359375,0.8550517073518237
50002,$1/n^{1/3}$,0.06250000000000001,-0.939453125,0.19970703125
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.92333984375,0.32373046875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.82958984375,0.05615234375
1680,$1/\log^{1/3}n$,0.4367902323681495,-0.783203125,0.13022286551339285
50002,$1/\sqrt{n}$,0.015625,-0.9658203125,0.3076171875
50002,$1/n^{1/3}$,0.06250000000000001,-0.9453125,0.48193359375
442,$1/\log^2 n$,0.006944444444444444,-0.96826171875,0.2041015625
50002,$1/\log n$,0.08333333333333333,-0.92138671875,0.197265625
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.83349609375,0.07958984375
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.76025390625,0.02783203125
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.9453125,0.037109375
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.931640625,0.47607421875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.81689453125,0.189453125
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.7744140625,0.1318359375
50002,$1/\sqrt{n}$,0.015625,-0.96435546875,0.4326171875
50002,$1/n^{1/3}$,0.06250000000000001,-0.9267578125,0.10693359375
1,$1/\log^2 n$,0.006944444444444444,-0.96875,0.09375
50002,$1/\log n$,0.08333333333333333,-0.93017578125,0.52490234375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.82177734375,0.02099609375
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.77783203125,0.10205078125
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.9423828125,0.05908203125
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.95849609375,0.5185546875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8447265625,0.10986328125
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.7919921875,0.24951171875
50002,$1/\sqrt{n}$,0.015625,-0.96484375,0.54833984375
50002,$1/n^{1/3}$,0.06250000000000001,-0.943359375,0.0
1,$1/\log^2 n$,0.006944444444444444,-0.96875,0.125
50002,$1/\log n$,0.08333333333333333,-0.9296875,0.18701171875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.87255859375,0.0810546875
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.7783203125,0.05126953125
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.970703125,0.69873046875
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.919921875,0.3076171875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8154296875,0.0966796875
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.77197265625,0.06982421875
50002,$1/\sqrt{n}$,0.015625,-0.97509765625,0.75390625
50002,$1/n^{1/3}$,0.06250000000000001,-0.9306640625,0.3681640625
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.9267578125,0.18798828125
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.833984375,0.0986328125
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.79541015625,0.19482421875
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.92724609375,0.00537109375
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.9365234375,0.10302734375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8330078125,0.10986328125
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.77880859375,0.05615234375
50002,$1/\sqrt{n}$,0.015625,-0.96142578125,0.08251953125
50002,$1/n^{1/3}$,0.06250000000000001,-0.91845703125,0.05859375
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.9208984375,0.4931640625
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.82763671875,0.01611328125
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.76904296875,0.12255859375
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.943359375,0.2392578125
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.9306640625,0.158203125
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8447265625,0.1396484375
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.79638671875,0.0048828125
50002,$1/\sqrt{n}$,0.015625,-0.96435546875,0.798828125
50002,$1/n^{1/3}$,0.06250000000000001,-0.962890625,0.63623046875
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.92236328125,0.1708984375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8203125,0.0322265625
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.7763671875,0.14794921875
50002,$1/\sqrt{n}$,0.015625,-0.9794921875,0.88134765625
50002,$1/n^{1/3}$,0.06250000000000001,-0.93701171875,0.2705078125
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.93115234375,0.18701171875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.82080078125,0.22119140625
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.74560546875,0.107421875
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.92626953125,0.08251953125
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.9375,0.3955078125
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.82763671875,0.02001953125
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.78759765625,0.04248046875
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.94921875,0.4609375
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.93896484375,0.46923828125
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.837890625,0.2587890625
32760,$1/\log^{1/3}n$,0.4367902323681495,-0.79296875,0.04138328170310592
50002,$1/\sqrt{n}$,0.015625,-0.96630859375,0.32177734375
50002,$1/n^{1/3}$,0.06250000000000001,-0.92919921875,0.3271484375
120,$1/\log^2 n$,0.006944444444444444,-0.96826171875,0.390625
50002,$1/\log n$,0.08333333333333333,-0.93701171875,0.01953125
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8330078125,0.169921875
46200,$1/\log^{1/3}n$,0.4367902323681495,-0.787109375,0.030533431412337664
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.95068359375,0.59375
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.91162109375,0.19921875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.82470703125,0.1923828125
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.7783203125,0.17529296875
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.9541015625,0.61279296875
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.94775390625,0.4912109375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.83154296875,0.01806640625
9240,$1/\log^{1/3}n$,0.4367902323681495,-0.80029296875,0.16323374298227813
50002,$1/\sqrt{n}$,0.015625,-0.97265625,0.689453125
50002,$1/n^{1/3}$,0.06250000000000001,-0.95068359375,0.4287109375
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.92626953125,0.2646484375
18480,$1/\sqrt{\log n}$,0.2886751345948129,-0.857421875,0.045384421080221865
19320,$1/\log^{1/3}n$,0.4367902323681495,-0.78662109375,0.006854033223343685
50002,$1/\sqrt{n}$,0.015625,-0.9599609375,0.40380859375
50002,$1/n^{1/3}$,0.06250000000000001,-0.93310546875,0.080078125
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.93017578125,0.12060546875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8662109375,0.208984375
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.806640625,0.001953125
50002,$1/\sqrt{n}$,0.015625,-0.9609375,0.33544921875
50002,$1/n^{1/3}$,0.06250000000000001,-0.9365234375,0.33056640625
1,$1/\log^2 n$,0.006944444444444444,-0.96875,0.0625
50002,$1/\log n$,0.08333333333333333,-0.93798828125,0.2060546875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.82177734375,0.11376953125
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.77587890625,0.046875
50002,$1/\sqrt{n}$,0.015625,-0.96337890625,0.50634765625
50002,$1/n^{1/3}$,0.06250000000000001,-0.92919921875,0.0048828125
50002,$1/\log^2 n$,0.006944444444444444,-0.9375,0.03173828125
50002,$1/\log n$,0.08333333333333333,-0.90869140625,0.35498046875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.7939453125,0.08984375
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.78564453125,0.1611328125
1,$1/\sqrt{n}$,0.015625,-0.96875,0.21875
50002,$1/n^{1/3}$,0.06250000000000001,-0.93310546875,0.15576171875
462,$1/\log^2 n$,0.006944444444444444,-0.96826171875,0.140625
50002,$1/\log n$,0.08333333333333333,-0.92041015625,0.064453125
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.84130859375,0.09765625
18480,$1/\log^{1/3}n$,0.4367902323681495,-0.75732421875,0.004431073077313312
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.9404296875,0.6376953125
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.94482421875,0.640625
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8271484375,0.08544921875
4620,$1/\log^{1/3}n$,0.4367902323681495,-0.77685546875,0.04502101089015152
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.92626953125,0.173828125
1,$1/\log^2 n$,0.006944444444444444,-0.96875,0.21875
50002,$1/\log n$,0.08333333333333333,-0.92138671875,0.20166015625
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.83544921875,0.08642578125
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.78857421875,0.08447265625
50002,$1/\sqrt{n}$,0.015625,-0.95947265625,0.32861328125
50002,$1/n^{1/3}$,0.06250000000000001,-0.9453125,0.08935546875
32,$1/\log^2 n$,0.006944444444444444,-0.96826171875,0.015625
50002,$1/\log n$,0.08333333333333333,-0.92724609375,0.1787109375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.837890625,0.08935546875
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.78466796875,0.08056640625
50002,$1/\sqrt{n}$,0.015625,-0.96533203125,0.388671875
50002,$1/n^{1/3}$,0.06250000000000001,-0.95556640625,0.302734375
156,$1/\log^2 n$,0.006944444444444444,-0.96826171875,0.359375
50002,$1/\log n$,0.08333333333333333,-0.92919921875,0.0595703125
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.85205078125,0.0068359375
49140,$1/\log^{1/3}n$,0.4367902323681495,-0.77490234375,0.011046791930580993
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.962890625,0.6962890625
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.93701171875,0.08544921875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.83056640625,0.1787109375
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.78564453125,0.04443359375
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
4,$1/n^{1/3}$,0.06250000000000001,-0.9931640625,0.981201171875
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.93359375,0.396484375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.83984375,0.1259765625
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.78466796875,0.109375
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.96240234375,0.66748046875
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.92041015625,0.044921875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8173828125,0.037109375
28980,$1/\log^{1/3}n$,0.4367902323681495,-0.787109375,0.0038752480158730155
3,$1/\sqrt{n}$,0.015625,-0.9677734375,0.47314453125
50002,$1/n^{1/3}$,0.06250000000000001,-0.94287109375,0.46728515625
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.9326171875,0.51220703125
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.85791015625,0.1142578125
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.783203125,0.115234375
50002,$1/\sqrt{n}$,0.015625,-0.9560546875,0.1171875
50002,$1/n^{1/3}$,0.06250000000000001,-0.93505859375,0.0166015625
1,$1/\log^2 n$,0.006944444444444444,-0.96875,0.34375
50002,$1/\log n$,0.08333333333333333,-0.943359375,0.6318359375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.83203125,0.09814453125
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.78759765625,0.09033203125
1,$1/\sqrt{n}$,0.015625,-0.96875,0.15625
50002,$1/n^{1/3}$,0.06250000000000001,-0.94384765625,0.4814453125
33,$1/\log^2 n$,0.006944444444444444,-0.96826171875,0.19981060606060605
50002,$1/\log n$,0.08333333333333333,-0.91796875,0.13427734375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.82080078125,0.0732421875
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.7822265625,0.00927734375
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.93310546875,0.4169921875
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.921875,0.30419921875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8505859375,0.03173828125
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.79296875,0.06201171875
50002,$1/\sqrt{n}$,0.015625,-0.96630859375,0.06884765625
50002,$1/n^{1/3}$,0.06250000000000001,-0.94970703125,0.51025390625
650,$1/\log^2 n$,0.006944444444444444,-0.9677734375,0.5155498798076923
50002,$1/\log n$,0.08333333333333333,-0.90966796875,0.08642578125
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.837890625,0.025390625
14280,$1/\log^{1/3}n$,0.4367902323681495,-0.794921875,0.10685293160232844
50002,$1/\sqrt{n}$,0.015625,-0.978515625,0.81494140625
50002,$1/n^{1/3}$,0.06250000000000001,-0.92431640625,0.15234375
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.9169921875,0.044921875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.8310546875,0.11962890625
5460,$1/\log^{1/3}n$,0.4367902323681495,-0.767578125,0.03689438816391941
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.96630859375,0.8095703125
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.91064453125,0.01611328125
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.84375,0.03466796875
13860,$1/\log^{1/3}n$,0.4367902323681495,-0.76806640625,0.09627194094967532
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.9189453125,0.0546875
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.9365234375,0.23974609375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.83056640625,0.01123046875
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.77880859375,0.08447265625
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.921875,0.1962890625
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.91943359375,0.07666015625
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.841796875,0.23095703125
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.77490234375,0.056640625
50002,$1/\sqrt{n}$,0.015625,-0.9541015625,0.087890625
50002,$1/n^{1/3}$,0.06250000000000001,-0.943359375,0.2392578125
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.9375,0.47021484375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.82666015625,0.00146484375
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.78125,0.041015625
50002,$1/\sqrt{n}$,0.015625,-0.966796875,0.35888671875
50002,$1/n^{1/3}$,0.06250000000000001,-0.9501953125,0.28173828125
1023,$1/\log^2 n$,0.006944444444444444,-0.9677734375,0.4709799608993158
50002,$1/\log n$,0.08333333333333333,-0.90771484375,0.18896484375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.85595703125,0.07958984375
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.7880859375,0.02587890625
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.9345703125,0.0498046875
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.91796875,0.01318359375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.83349609375,0.0859375
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.79833984375,0.158203125
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.93896484375,0.2880859375
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.93994140625,0.43359375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.826171875,0.09130859375
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.76953125,0.072265625
1,$1/\sqrt{n}$,0.015625,-0.96875,0.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.94970703125,0.3564453125
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.93701171875,0.46630859375
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.84423828125,0.14306640625
50002,$1/\log^{1/3}n$,0.4367902323681495,-0.7890625,0.0126953125
1,$1/\sqrt{n}$,0.015625,-1.0,1.0
50002,$1/n^{1/3}$,0.06250000000000001,-0.9365234375,0.2080078125
1,$1/\log^2 n$,0.006944444444444444,-1.0,1.0
50002,$1/\log n$,0.08333333333333333,-0.935546875,0.419921875
50002,$1/\sqrt{\log n}$,0.2886751345948129,-0.837890625,0.00048828125
10920,$1/\log^{1/3}n$,0.4367902323681495,-0.79833984375,0.058151435153388276
1,$1/\sqrt{n}$,0.015625,-0.96875,0.65625
50002,$1/n^{1/3}$,0.06250000000000001,-0.927734375,0.1669921875
